FOREIGN TRAVEL FOR LEEDS CITY COUNCIL (April 18 to March 19)     ALL COSTS IN GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME OF PERSON TRAVELING,JOB TITLE,CITY,COUNTRY,DEPARTURE DATE,RETURN DATE,TOTAL NUMBER OF DAYS AND NIGHTS,REASON FOR VISIT ,CLASS OF FLIGHT i.e business,TRAVEL COSTS                                                                                                                      ,,COST OF ACCOMMODATION ,,EXPENSES - LOCAL TRANSPORT ,,EXPENSES - FOOD & DRINK,,TOTAL COST OF VISIT,TOTAL COSTS TO LCC,TOTAL COSTS TO OTHER ORGANISATIONS (IF KNOWN ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,To LCC,To other,To LCC,To other,To LCC,To other,To LCC,To other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaid Mahmood,Chief Officer Communities,"Washington DC, Portland, Seattle",USA,15.05.18,26.05.18,11 nights/12 days,To participate in a Prevent exchange visit,economy,0,1197,0,2028,0,1707.6,0,565.67,5498.27,0,5498.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liz Jarmin,Head of Community Safety Partnerships,"Washington DC, Portland, Seattle",USA,15.05.18,26.05.18,11 nights/12 days,To participate in a Prevent exchange visit,economy,0,1197,0,2028,0,1707.6,0,565.67,5498.27,0,5498.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Conference Officer,Cork,Ireland,21.05.18,22.05.18,1 night/2 days,To attend a conferencing and events ambassador event ,economy,302.18,0,130.16,0,13.57,0,10.48,0,456.39,456.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Youth Offer Improvement Officer,Bacau,Romania,20.05.18,26.05.18,5 nights/6 days,To participate in activities of the Erasmus+ project GRIET,economy,0,244.86,0,278.12,0,0,0,145.3,668.28,0,668.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Learning Improvement Consultant,Bacau,Romania,20.05.18,26.05.18,5 nights/6 days,To participate in activities of the Erasmus+ project GRIET,economy,0,244.86,0,278.12,0,0,0,145.3,668.28,0,668.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Senior Development Officer,Parma,Italy,22.05.18,26.05.18,4 nights/5 days,To attend a plenary meeting for the ACTIVAGE project,economy,0,36.31,0,194.3,0,44.16,0,176.64,451.41,0,451.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Senior Librarian Manager,Brussels,Belgium,04.06.18,06.06.18,2 nights/3 days,To attend the Europe Direct AGM,economy,0,292.72,0,130,0,0,0,0,422.72,0,422.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Senior Development Officer,Bilbao,Spain,04.06.18,08.06.18,4 nights/5 days,To present at an IoT Conference on behalf of the ACTIVAGE project,economy,0,146.5,0,540,0,44.16,0,123.64,854.3,0,854.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Social Worker,Cork,Ireland,14.06.18,14.06.18,0 nights/1 day,To carry out social care work,economy,363.98,0,0,0,29.49,0,19.31,0,412.78,412.78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Advanced Practitioner,Cork,Ireland,14.06.18,14.06.18,0 nights/1 day,To carry out social care work,economy,363.98,0,0,0,29.49,0,19.31,0,412.78,412.78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cllr Judith Blake,Leader of the Council,Sibiu,Romania,14.06.18,17.06.18,3 nights/4 days,To attend and speak at a cultural conference ,economy,279.78,0,0,162,5.9,0,62.26,0,509.94,347.94,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
